UPC,Item
7501089801449,Valprosid 30 Tableta Caja - Valproato semisódico 250 MG
7501298223421,Eutirox Oral 50 Tabletas Caja - Levotiroxina 175 MCG
7501299309179,Doscoxel - 28 Tabletas Caja Etoricoxib 90 MG
7501089801463,Valprosid 30 Tableta Caja - Valproato semisódico 500 MG
7501050620338,Clarityne D Alivio de Alergias y Congestión Nasal - 10 Tableta Caja Loratadina 5 MG
7508006100401,Atorvastatina 20 MG - Aurax 10 Tabletas Caja
7501089809445,Eskapar Compuesto Antiprotoz y antihelmint - 20 Cápsulas Caja Nifuroxazida 200 MG
7501277028979,Tramadol 37.5 MG Paracetamol 325 MG - Minofedral 20 Tabletas Caja
7501277030736,Etoricoxib 90 MG - Filcos 28 Tabletas Caja
7501277030712,Etoricoxib 120 MG - Filcos 7 Tabletas Caja
7508006101521,Felodipino 5 MG - Aurax 30 Tabletas Frasco
5415062372388,Xeljanz 30 Z96 Tabletas Frasco - Tofacitinib 11 MG
1430561376105,Dr Meyer Rodillera Chica Articulada de Neopreno - 1 Pieza Caja
7502262415989,Benesta Tobillera Mediana Ajustable de Neopreno Azul - 1 Pieza Caja
7502262415279,Benesta Tobillera Elástica Anti-Deslizante Talla Mediana - 1 Pieza Caja
1430561376303,Dr Meyer Rodillera Grande Articulada de Neopreno - 1 Pieza Caja
7702003476594,Curitas Venditas Transpiel - 100 Piezas Caja
7502262415996,Benesta Tobillera Grande Ajustable de Neopreno Azul - 1 Pieza Caja
5016003659409,Microlet Lancetas - 25 Piezas Caja
729513101669,Le Roy Cubreboca Desechable Plisado Azul - 5 Piezas Bolsa
729513102123,Le Roy Cubreboca Desechable Plisado Negro - 5 Piezas Bolsa
7501033958144,Luvox 15 Tabletas Caja - Maleato de fluvoxamina 50 MG
7501033957871,Serc 30 Tabletas Caja - Betahistina 24 MG
7508006102009,Irbesartán 150 MG Hidroclorotiazida 12.5 MG - Aurax 28 Tabletas Caja
8901148266605,Druse 5 ML Solución Jeringa Prellenada - Fulvestrant 250.0 MG
7501101600821,Dalexidol 10 Caja Tabletas - Celecoxib 200.0 MG Paracetamol 500.0 MG
650240001314,Nikzon Masticables Tratamiento de Hemorroides - 90 Tableta Caja Extracto estandarizado de raíz 20 MG
7730979097338,Tim Asf Xr 30 Tableta Caja - Fumarato de quetiapina 50 MG
7501092723240,Proctoacid - 50 G Ungüento Tubo Policresuleno 5 G
650240024931,Nikzon Masticables Tratamiento de las Hemorroides - 40 Tableta Caja Extracto estandarizado de raíz 20 MG
7501092770022,Mobilat - 50 G Crema Tubo Ester polisulfúrico mucopolisa 0.2 G
8430308001577,Bristaflam Aniinflamat y anti reuma - 40 Comprimidos Caja Aceclofenaco 100 MG
